filename,class
1.jpg,Boutros_Boutros_Ghali
2.jpg,Naomi_Watts
3.jpg,Steve_Austin
4.jpg,John_Banko
5.jpg,Vanessa_Williams
6.jpg,Colin_Powell
7.jpg,Kofi_Annan
8.jpg,Wayne_Ferreira
9.jpg,Paul_Burrell
10.jpg,Colin_Powell
11.jpg,Janet_Napolitano
12.jpg,Thomas_Manger
13.jpg,Sophia_Loren
14.jpg,Dan_Wheldon
15.jpg,Ralph_Klein
16.jpg,Christine_Gregoire
17.jpg,Robert_Douglas
18.jpg,Elizabeth_Shue
19.jpg,Thomas_OBrien
20.jpg,Serge_Klarsfeld
21.jpg,Charles_Lebois
22.jpg,Chris_Dodd
23.jpg,Habib_Rizieq
24.jpg,Matt_Doherty
25.jpg,Hamid_Karzai
26.jpg,Paul_Bremer
27.jpg,Jon_Gruden
28.jpg,Derek_Jeter
29.jpg,Wu_Yi
30.jpg,Donna_Morrissey
31.jpg,Colin_Powell
32.jpg,Laurie_Hobbs
33.jpg,Matt_Doherty
34.jpg,Colin_Powell
35.jpg,Al_Gore
36.jpg,Hugo_Chavez
37.jpg,Linda_Amicangioli
38.jpg,Fazal-ur-Rehman
39.jpg,Mariah_Carey
40.jpg,Bruce_Weber
41.jpg,Martha_Bowen
42.jpg,Uzi_Even
43.jpg,Sheila_Taormina
44.jpg,Kofi_Annan
45.jpg,Colin_Powell
46.jpg,Paul_Bremer
47.jpg,Tom_Hanks
48.jpg,Bill_Kollar
49.jpg,Colin_Powell
50.jpg,Ali_Khamenei
51.jpg,Maria_Shriver
52.jpg,Kiki_Vandeweghe
53.jpg,Chung_Mong-hun
54.jpg,Thomas_OBrien
55.jpg,Steve_Mariucci
56.jpg,Harvey_Fierstein
57.jpg,Hermando_Harton
58.jpg,Jolanta_Kwasniewski
59.jpg,Keith_Foulke
60.jpg,Herb_Brooks
61.jpg,Paul_Bremer
62.jpg,Asif_Ali_Zardari
63.jpg,Pete_Sampras
64.jpg,Hugo_Chavez
65.jpg,Carson_Palmer
66.jpg,John_Bolton
67.jpg,Tiger_Woods
68.jpg,Lionel_Chalmers
69.jpg,095_frontal
70.jpg,Hugo_Chavez
71.jpg,081_frontal
72.jpg,John_Franco
73.jpg,Ted_Christopher
74.jpg,Ty_Votaw
75.jpg,Gong_Li
76.jpg,Ellen_Pompeo
77.jpg,Hamid_Karzai
78.jpg,Will_Ferrell
79.jpg,Kofi_Annan
80.jpg,Colin_Powell
81.jpg,Martin_Cauchon
82.jpg,Naomi_Watts
83.jpg,Paul_Newman
84.jpg,Elizabeth_Hurley
85.jpg,Begum_Khaleda_Zia
86.jpg,Nadine_Vinzens
87.jpg,Naomi_Watts
88.jpg,Tom_Ridge
89.jpg,Desmon_Farmer
90.jpg,Beyonce_Knowles
91.jpg,Yasushi_Akashi
92.jpg,Wen_Jiabao
93.jpg,Mukesh_Ambani
94.jpg,Colin_Powell
95.jpg,Ana_Palacio
96.jpg,067_frontal
97.jpg,Tom_Ridge
98.jpg,Babe_Ruth
99.jpg,Kiki_Vandeweghe
100.jpg,Leander_Paes
101.jpg,Colin_Powell
102.jpg,Peter_Rasch
103.jpg,Robert_Bullock
104.jpg,Jose_Cevallos
105.jpg,Tuncay_Sanli
106.jpg,Sarah_Weddington
107.jpg,Naomi_Watts
108.jpg,Colin_Powell
109.jpg,Colin_Powell
110.jpg,Lela_Rochon
111.jpg,Hugo_Conte
112.jpg,Fernando_Leon_de_Aranoa
113.jpg,Hans_Peter_Briegel
114.jpg,Isabella_Rossellini
115.jpg,Ai_Sugiyama
116.jpg,Robert_Bullock
117.jpg,Colin_Powell
118.jpg,Li_Peng
119.jpg,Brandon_Robinson
120.jpg,Luc_Montagnier
121.jpg,Colin_Powell
122.jpg,Li_Peng
123.jpg,Oscar_De_La_Hoya
124.jpg,Leon_Silver
125.jpg,Colin_Powell
126.jpg,Brandon_Boyd
127.jpg,Colin_Powell
128.jpg,John_Eder
129.jpg,Colin_Powell
130.jpg,Connie_Chung
131.jpg,Slobodan_Milosevic
132.jpg,Colin_Powell
133.jpg,Corinna_Harfouch
134.jpg,Thaksin_Shinawatra
135.jpg,Salma_Hayek
136.jpg,Kate_Hudson
